title,kinguin_id,bitloot_id,price,is_new
"DisplayFusion Steam Gift",5c9b61a42539a4e8f174684a,67061659-7348-421f-a2e6-27b03a49a8f9,11,true
"Nitro PDF Pro 14 CD Key",66eaad674ccbd97a34596a79,7355ec08-dbee-4844-922a-d5f1d28c8804,8,true
"Windows 11 Home Online Activation Key",655e0a39ae196da0abb076a9,04ca80e2-f605-4c74-a138-fd13c493a50b,20.99,true
"Adobe Creative Cloud Photography Plan - 1TB Cloudstorage Subscription Key (3 Months / 1 PC)",69380c952848650f7c32d61a,7b537a1b-dcba-480c-b47b-19d2a24fa506,5.99,true
"ESET NOD32 Antivirus (1 Year / 1 PC)",5c9b659f2539a4e8f177f6d7,e7ea15ec-5b8e-42ca-8601-eb55445ed3ce,9.58,true
"ESET Internet Security 2024 Key (1 Year / 1 PC)",653cb70f8f21d2ad4b0cf922,5b57b5cd-0b90-4b64-abfc-a435d428a9ac,7.59,true
"Windows 11 Professional N OEM Key",6870ad73a423ab2846c31736,71465b62-b5bc-4de2-99a8-30c570eecde6,11.99,true
"Windows 10 Professional OEM Key",5c9b64e72539a4e8f1772d07,7d1e86b1-1e24-45d5-a997-a8cb403045cb,11.99,true
"Windows 11 Home Retail Key",6165677020c4210001a24d8d,b99f5a89-4a3b-4e75-a66c-bc56411e334f,21.99,true
"ESET Home Security Essential Key (1 Year / 1 Device)",65de09845b7837876a498485,eacc2da1-5257-4800-9ed8-77b01b39651d,7.95,true
"Windows 11 Professional Online Activation Key",65560b66ae196da0ab207d00,a180626e-3604-4721-a3b9-8dcb97c9c503,23.99,true
"Adobe Creative Cloud Pro - 1 Month Subscription Key",66daee694ccbd97a349cb6ba,0046ae48-ebd2-4980-b903-e0e6044084db,5,true
"MS Office 2021 Professional Plus OEM Key",649d8f0f098a615a69d08f73,1e173f06-b560-436b-8f76-2854701bd2e5,24.99,true
"MS Office 2021 Professional Plus Retail Key",616c11cebbbadb1f259a2da2,f6d427ea-7aa8-45ea-ad1e-69cb0d368751,30,true
"ESET Internet Security Key (1 Year / 1 PC)",5c9b659f2539a4e8f177f6cd,9a3feed1-060e-48a9-ad09-f69583199310,7.99,true
"Windows 11 Home OEM Key",6208ff749e44a1f37627b033,78288ac1-5cb2-4f67-b75a-eb0501cb4d62,19.99,true
"Adobe Creative Cloud Pro - 3 Months Subscription Key",670f63e5a43002fb0d018e06,00b59c48-dfc2-475f-9981-75570c342dd5,14.49,true
"Windows 11 Professional Retail Key",61696e2dbbbadb1f254d7e29,9cdad16f-fce2-481c-9d40-7fca8d958275,24.99,true
"Windows 11 Professional OEM Key",6208f8309e44a1f376c463ba,309dece1-dccd-4324-a329-4eb27ae72fa4,22.99,true
