ID,Title,Slug,Platform,Category,Genres,Region,Cost (EUR),Price (EUR),Source,Delivery Type,Published,Featured,Kinguin ID,Created At,Updated At
3060230a-177f-42ee-b86c-b1909ea1619f,Europa Universalis V PC Steam Account,europa-universalis-v-pc-steam-account-68ac08,Steam,games,Strategy,North America,29.45000000,36.93750000,kinguin,key,true,false,379300,2026-02-16T22:10:54.496Z,2026-02-21T08:05:38.328Z
471f2722-f1f4-4e99-957a-54085f34ddd0,Super Duolingo 1 Year Subscription Account,super-duolingo-1-year-subscription-account-6593f7,Other,subscriptions,Subscription,North America,13.00000000,19.57500000,kinguin,key,true,false,206460,2026-02-16T22:00:03.296Z,2026-02-23T20:35:51.170Z
db4e8e98-6fe6-41dc-9c02-292e6a9caff4,Grok AI - SuperGrok 1 Month Subscription Account,grok-ai-supergrok-1-month-subscription-account-687b8b,Other,subscriptions,,North America,9.38000000,21.02500000,kinguin,key,true,false,366504,2026-02-16T21:56:22.217Z,2026-02-23T23:43:16.626Z
5edcc437-b1bb-4a24-a569-3a65cc89137f,Arma Reforger PC Steam Account,arma-reforger-pc-steam-account-65606f,Steam,games,"Action, Simulation, Strategy, FPS",North America,12.79000000,19.79250000,kinguin,key,true,false,199813,2026-02-16T21:53:44.066Z,2026-02-24T06:53:07.492Z
5f7a1c68-85d3-462c-81cd-96d0d06bd1ea,Ready Or Not PC Steam Account,ready-or-not-pc-steam-account-633fcc,Steam,games,"Action, Adventure, Indie, Co-op, FPS",North America,6.02000000,9.17850000,kinguin,key,true,false,133263,2026-02-16T21:50:51.764Z,2026-02-23T21:40:34.599Z
51d179a7-e6ee-48c5-a284-eda9d483731f,Ready or Not PS5 Account,ready-or-not-ps5-account-686cf5,PlayStation,games,"FPS, Action",North America,31.23000000,35.91450000,kinguin,key,true,false,361646,2026-02-16T21:50:37.101Z,2026-02-18T23:49:08.425Z
843bfa78-ce6d-4af4-b0d7-305324b23d4c,WWE 2K25 PS4/PS5 Account,wwe-2k25-ps4ps5-account-67b712,PlayStation,games,"Simulation, Fighting",Region 80,29.95000000,37.43750000,kinguin,key,true,false,314617,2026-02-16T21:49:23.221Z,2026-02-24T07:31:19.683Z
c1985e98-905a-4acb-97c2-0269d866af20,Kingdom Come: Deliverance II PS5 Account,kingdom-come-deliverance-ii-ps5-account-66ed23,PlayStation,games,"Action, Open World, RPG",North America,22.87000000,29.32500000,kinguin,key,true,false,271850,2026-02-16T21:45:31.737Z,2026-02-23T08:13:44.861Z
c1a3a993-122c-4355-91d5-cdb75988f73c,The Crew Motorfest Ultimate Edition PS4 / PS5 Account,the-crew-motorfest-ultimate-edition-ps4-ps5-accoun-657850,PlayStation,games,"Simulation, Sport, Racing, Open World",North America,23.46000000,29.32500000,kinguin,key,true,false,202874,2026-02-16T21:44:31.259Z,2026-02-21T13:47:41.759Z
17114441-68c8-4b94-b627-8847cc207e08,Watch Dogs Legion: Deluxe Edition EU PC Ubisoft Connect CD Key,watch-dogs-legion-deluxe-edition-eu-pc-ubisoft-con-638c7f,Ubisoft Connect,games,"Action, Open World, Co-op",Asia,9.39000000,13.61550000,kinguin,key,true,false,140607,2026-02-16T21:34:46.324Z,2026-02-21T19:41:44.541Z
b9cd6ef4-b2d7-4881-bc47-e536213b3dc5,LinkedIn Premium Career - 12 Months Subscription Key,linkedin-premium-career-12-months-subscription-key-659d10,Other,subscriptions,Subscription,North America,13.05000000,18.92250000,kinguin,key,true,false,207764,2026-02-16T21:28:59.408Z,2026-02-24T07:49:19.525Z
511ea2fc-24ec-4799-a46d-18e9fce0fafd,Diablo 2 US Battle.net CD Key,diablo-2-us-battlenet-cd-key-5c9b65,Battle.net,games,"Action, Adventure, RPG, Hack and Slash",Europe,8.11000000,11.77400000,kinguin,key,true,false,21219,2026-02-12T04:48:27.849Z,2026-02-23T06:45:49.502Z
80d3fceb-798a-400e-892d-fdc167578543,Binance Gift Card (USDT) $10,binance-gift-card-usdt-10-62a090,Other,subscriptions,,Region 10,9.22000000,11.38000000,kinguin,key,true,false,120706,2026-02-12T03:32:46.065Z,2026-02-24T07:42:13.737Z
b4bfd78f-2846-477f-a45f-622c5f41771a,Binance Gift Card (USDT) $25,binance-gift-card-usdt-25-62a053,Other,subscriptions,,Region 10,22.80000000,26.57000000,kinguin,key,true,false,120649,2026-02-12T03:32:42.220Z,2026-02-24T06:54:14.757Z
